Path,Accessor,Size,StoredSize,Sha256,Md5,Error,_Components
B:\Windows\System32\winevt\Logs\Application.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Application.evtx""]"
B:\Windows\System32\winevt\Logs\HardwareEvents.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""HardwareEvents.evtx""]"
B:\Windows\System32\winevt\Logs\Internet Explorer.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Internet Explorer.evtx""]"
B:\Windows\System32\winevt\Logs\Key Management Service.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Key Management Service.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-AppV-Client%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-AppV-Client%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-AppV-Client%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-AppV-Client%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-AppV-Client%4Virtual Applications.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-AppV-Client%4Virtual Applications.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Client-Licensing-Platform%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Rdms-UI%4Admin.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Rdms-UI%4Admin.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Rdms-UI%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Rdms-UI%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-User Experience Virtualization-Agent Driver%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-User Experience Virtualization-Agent Driver%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-User Experience Virtualization-App Agent%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-User Experience Virtualization-App Agent%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-User Experience Virtualization-IPC%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-User Experience Virtualization-IPC%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-User Experience Virtualization-SQM Uploader%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-User Experience Virtualization-SQM Uploader%4Operational.evtx""]"
B:\Windows\System32\winevt\Logs\Microsoft-Windows-AAD%4Operational.evtx,auto,69632,69632,,,,"[""B:"",""Windows"",""System32"",""winevt"",""Logs"",""Microsoft-Windows-AAD%4Operational.evtx""]"
